home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Honduras,Chile,0,1,Group stage,2010,0,65.0,1378.970301,55.0,1452.939983
Spain,Switzerland,0,1,Group stage,2010,0,2.0,1873.013187,19.0,1650.064179
South Africa,Uruguay,0,3,Group stage,2010,0,60.0,1428.379282,16.0,1673.068603
New Zealand,Slovakia,1,1,Group stage,2010,1,85.0,1275.581062,47.0,1473.660727
Côte d'Ivoire,Portugal,0,0,Group stage,2010,1,33.0,1540.869533,5.0,1766.177547
Brazil,Korea DPR,2,1,Group stage,2010,2,6.0,1765.856297,120.0,1151.052136
Netherlands,Denmark,2,0,Group stage,2010,2,8.0,1751.097835,21.0,1619.474248
Japan,Cameroon,1,0,Group stage,2010,2,18.0,1661.576187,44.0,1481.235245
Italy,Paraguay,1,1,Group stage,2010,1,12.0,1704.733836,40.0,1505.349689
Algeria,Slovenia,0,1,Group stage,2010,0,28.0,1571.033293,59.0,1441.087158
Serbia,Ghana,0,1,Group stage,2010,0,43.0,1502.133186,73.0,1346.881205
Germany,Australia,4,0,Group stage,2010,2,10.0,1735.771984,27.0,1579.34264
Korea Republic,Greece,2,0,Group stage,2010,2,25.0,1591.630886,48.0,1473.187305
Argentina,Nigeria,1,0,Group stage,2010,2,1.0,1876.118331,26.0,1586.688586
South Africa,Mexico,1,1,Group stage,2010,1,60.0,1428.379282,14.0,1687.481759
Uruguay,France,0,0,Group stage,2010,1,16.0,1673.068603,3.0,1869.428449
Italy,France,1,1,Final,2006,1,12.0,1704.733836,3.0,1869.428449
Germany,Portugal,3,1,Third-place match,2006,2,10.0,1735.771984,5.0,1766.177547
Portugal,France,0,1,Semi-finals,2006,0,5.0,1766.177547,3.0,1869.428449
Germany,Italy,0,2,Semi-finals,2006,0,10.0,1735.771984,12.0,1704.733836
England,Portugal,0,0,Quarter-finals,2006,1,4.0,1827.048678,5.0,1766.177547
Brazil,France,0,1,Quarter-finals,2006,0,6.0,1765.856297,3.0,1869.428449
Germany,Argentina,1,1,Quarter-finals,2006,1,10.0,1735.771984,1.0,1876.118331
Italy,Ukraine,3,0,Quarter-finals,2006,2,12.0,1704.733836,32.0,1549.287173
Brazil,Ghana,3,0,Round of 16,2006,2,6.0,1765.856297,73.0,1346.881205
Spain,France,1,3,Round of 16,2006,0,2.0,1873.013187,3.0,1869.428449
Italy,Australia,1,0,Round of 16,2006,2,12.0,1704.733836,27.0,1579.34264
Switzerland,Ukraine,0,0,Round of 16,2006,1,19.0,1650.064179,32.0,1549.287173
England,Ecuador,1,0,Round of 16,2006,2,4.0,1827.048678,23.0,1598.51582
Portugal,Netherlands,1,0,Round of 16,2006,2,5.0,1766.177547,8.0,1751.097835
Germany,Sweden,2,0,Round of 16,2006,2,10.0,1735.771984,38.0,1509.785392
Argentina,Mexico,2,1,Round of 16,2006,2,1.0,1876.118331,14.0,1687.481759
Saudi Arabia,Spain,0,1,Group stage,2006,0,61.0,1421.538339,2.0,1873.013187
Ukraine,Tunisia,1,0,Group stage,2006,2,32.0,1549.287173,46.0,1476.405088
Togo,France,0,2,Group stage,2006,0,122.0,1146.703618,3.0,1869.428449
Switzerland,Korea Republic,2,0,Group stage,2006,2,19.0,1650.064179,25.0,1591.630886
Japan,Brazil,1,4,Group stage,2006,0,18.0,1661.576187,6.0,1765.856297
Croatia,Australia,2,2,Group stage,2006,1,11.0,1714.865572,27.0,1579.34264
Portugal,Mexico,2,1,Group stage,2006,2,5.0,1766.177547,14.0,1687.481759
IR Iran,Angola,1,1,Group stage,2006,1,20.0,1619.58163,89.0,1262.219698
Netherlands,Argentina,0,0,Group stage,2006,1,8.0,1751.097835,1.0,1876.118331
Costa Rica,Poland,1,2,Group stage,2006,0,52.0,1457.00228,36.0,1526.183359
Ecuador,Germany,0,3,Group stage,2006,0,23.0,1598.51582,10.0,1735.771984
Paraguay,Trinidad and Tobago,2,0,Group stage,2006,2,40.0,1505.349689,103.0,1221.951833
Sweden,England,2,2,Group stage,2006,1,38.0,1509.785392,4.0,1827.048678
Togo,Switzerland,0,2,Group stage,2006,0,122.0,1146.703618,19.0,1650.064179
Saudi Arabia,Ukraine,0,4,Group stage,2006,0,61.0,1421.538339,32.0,1549.287173
Spain,Tunisia,3,1,Group stage,2006,2,2.0,1873.013187,46.0,1476.405088
Japan,Croatia,0,0,Group stage,2006,1,18.0,1661.576187,11.0,1714.865572
